id,team_id,possession_style,defensive_style,defensive_line,width,attacking_mindset,formation,team_level,possession_pct,ppda,passes_completed,progressive_passes,final_third_entries,shot_creating_actions,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen
39,73,Balanced,Mid-Block,Low,Balanced,Defensive,4-4-2,8,44.3,53.08988764044944,0.0,781.0,240.0,0.0,2505.0,6936.0,6765.0,2713.0,507.0
40,18,Possession,Low-Block,Medium,Balanced,Balanced,4-2-3-1,82,59.5,93.55232558139535,0.0,1464.0,485.0,0.0,2017.0,6310.0,10316.0,5490.0,895.0
41,94,Defensive,Mid-Block,Low,Wide,Balanced,4-5-1,10,41.0,41.82251082251082,0.0,783.0,283.0,0.0,2520.0,6548.0,6419.0,3422.0,509.0
42,30,Possession,Mid-Block,Medium,Wide,Balanced,4-2-3-1,78,58.6,64.084,0.0,1324.0,473.0,0.0,1916.0,6605.0,10514.0,4981.0,705.0
43,82,Balanced,Mid-Block,Low,Balanced,Defensive,4-4-2,26,50.0,52.62555066079295,0.0,1011.0,286.0,0.0,2238.0,6559.0,8643.0,3723.0,570.0
44,90,Balanced,Mid-Block,Medium,Balanced,Balanced,4-2-3-1,76,53.9,60.34529147982063,0.0,1268.0,486.0,0.0,1950.0,5791.0,9112.0,4537.0,758.0
45,79,Counter,Mid-Block,Low,Balanced,Balanced,4-4-1-1,29,42.6,45.39150943396226,0.0,915.0,310.0,0.0,1939.0,5934.0,6814.0,3273.0,525.0
46,87,Balanced,Mid-Block,Low,Balanced,Balanced,4-4-2,19,44.6,44.64473684210526,0.0,936.0,312.0,0.0,2215.0,6358.0,7470.0,3566.0,538.0
47,62,Balanced,Mid-Block,Low,Wide,Balanced,4-4-2,5,42.1,39.738197424892704,0.0,851.0,294.0,0.0,2144.0,6175.0,7272.0,2945.0,367.0
48,65,Counter,Mid-Block,Low,Balanced,Balanced,4-4-1-1,29,45.6,44.369811320754714,0.0,934.0,322.0,0.0,2403.0,6716.0,8426.0,3556.0,547.0
49,35,Balanced,Mid-Block,Medium,Wide,Balanced,4-3-3,70,54.4,47.05263157894737,0.0,1255.0,424.0,0.0,1604.0,5282.0,8643.0,5175.0,730.0
50,27,Possession,Mid-Block,High,Wide,Balanced,4-3-3,87,59.3,61.87795275590551,0.0,1481.0,439.0,0.0,1555.0,4816.0,10543.0,6393.0,821.0
51,54,Possession,Mid-Block,High,Wide,Balanced,4-3-3,79,57.2,56.84738955823293,0.0,1368.0,435.0,0.0,1654.0,5151.0,9692.0,5113.0,730.0
52,57,Possession,Mid-Block,Medium,Balanced,Balanced,4-2-3-1,88,57.7,59.65234375,0.0,1598.0,474.0,0.0,1964.0,5972.0,9856.0,6210.0,1096.0
53,13,Possession,Mid-Block,Medium,Balanced,Balanced,4-2-3-1,76,56.2,54.97154471544715,0.0,1369.0,378.0,0.0,1853.0,5663.0,8974.0,4846.0,814.0
54,67,Balanced,Mid-Block,Medium,Balanced,Defensive,4-4-2,39,50.1,47.56086956521739,0.0,1123.0,286.0,0.0,1976.0,5955.0,8127.0,4371.0,670.0
55,74,Balanced,Mid-Block,Low,Wide,Balanced,4-4-2,27,46.8,46.68609865470852,0.0,992.0,341.0,0.0,2083.0,5897.0,7740.0,3781.0,557.0
56,48,Possession,Mid-Block,High,Wide,Attacking,4-3-3,97,61.4,70.46768060836501,0.0,1656.0,740.0,0.0,1847.0,5716.0,10515.0,8416.0,1155.0
57,71,Balanced,Mid-Block,Low,Balanced,Balanced,4-4-2,64,52.8,51.343173431734314,0.0,1158.0,388.0,0.0,2183.0,7339.0,8826.0,4743.0,785.0
58,4,Possession,Mid-Block,High,Wide,Balanced,4-2-3-1,85,64.2,69.22727272727273,0.0,1525.0,472.0,0.0,1693.0,6086.0,12351.0,5670.0,756.0
59,16,Balanced,Mid-Block,Medium,Balanced,Attacking,4-2-3-1,85,54.4,50.87169811320755,0.0,1397.0,552.0,0.0,1654.0,5841.0,8698.0,4817.0,844.0
60,50,Possession,Mid-Block,High,Balanced,Balanced,3-4-3,84,55.4,47.6728624535316,0.0,1458.0,479.0,0.0,1540.0,5040.0,9645.0,4941.0,869.0
61,21,Balanced,Mid-Block,Medium,Wide,Balanced,4-4-2,28,45.4,37.29389312977099,0.0,922.0,315.0,0.0,1823.0,5213.0,7173.0,3598.0,486.0
62,52,Balanced,Mid-Block,Low,Wide,Balanced,4-2-3-1,25,47.7,58.9452736318408,0.0,921.0,348.0,0.0,2442.0,7060.0,7822.0,3447.0,418.0
63,12,Defensive,High Press,Low,Balanced,Balanced,4-5-1,20,39.5,37.69037656903766,0.0,886.0,282.0,0.0,1889.0,5219.0,6739.0,3180.0,546.0
64,93,Balanced,Mid-Block,Medium,Balanced,Balanced,4-3-3,64,53.5,53.92075471698113,0.0,1344.0,394.0,0.0,1948.0,6354.0,9689.0,4649.0,747.0
65,59,Balanced,Mid-Block,Low,Balanced,Balanced,5-3-2,68,50.2,50.50579150579151,0.0,1306.0,397.0,0.0,2037.0,6644.0,8353.0,5047.0,896.0
66,7,Counter,High Press,Medium,Balanced,Balanced,4-2-3-1,63,47.9,37.263333333333335,0.0,1117.0,345.0,0.0,1852.0,5637.0,7941.0,4005.0,730.0
67,44,Counter,Mid-Block,Low,Balanced,Balanced,4-4-1-1,37,40.1,43.28431372549019,0.0,919.0,342.0,0.0,2093.0,5407.0,6281.0,4274.0,664.0
68,9,Balanced,Mid-Block,Medium,Balanced,Balanced,4-2-3-1,37,45.5,40.82403433476395,0.0,965.0,345.0,0.0,1850.0,5209.0,7176.0,3911.0,600.0
69,76,Possession,Mid-Block,High,Balanced,Attacking,4-2-3-1,97,67.8,58.12130177514793,0.0,1770.0,593.0,0.0,1766.0,5901.0,12559.0,6936.0,1042.0
70,60,Counter,Mid-Block,Low,Wide,Balanced,3-4-3,38,45.2,43.846774193548384,0.0,936.0,380.0,0.0,2268.0,6037.0,7357.0,3973.0,560.0
71,86,Balanced,Mid-Block,Low,Wide,Balanced,4-2-3-1,45,51.3,46.46774193548387,0.0,1130.0,366.0,0.0,2159.0,6569.0,7710.0,4584.0,581.0
72,84,Balanced,Mid-Block,Medium,Balanced,Balanced,4-2-3-1,54,53.0,58.39461883408072,0.0,1191.0,338.0,0.0,1966.0,6028.0,9783.0,4362.0,690.0
73,39,Possession,Mid-Block,Medium,Wide,Attacking,3-4-3,94,60.4,54.98738170347003,0.0,1599.0,553.0,0.0,2033.0,6490.0,10494.0,6361.0,948.0
74,40,Balanced,Mid-Block,Medium,Wide,Balanced,4-3-3,56,54.5,47.616,0.0,1109.0,337.0,0.0,1858.0,5754.0,8830.0,4365.0,624.0
75,24,Counter,Mid-Block,Low,Balanced,Balanced,5-3-2,44,44.2,37.003787878787875,0.0,995.0,363.0,0.0,2097.0,5966.0,6455.0,3628.0,557.0
76,41,Balanced,Mid-Block,Medium,Balanced,Balanced,4-3-3,66,51.1,41.00335570469799,0.0,1279.0,377.0,0.0,1726.0,5484.0,8657.0,4443.0,697.0
77,8,Possession,Mid-Block,Medium,Wide,Balanced,4-3-3,72,55.3,64.58189655172414,0.0,1305.0,512.0,0.0,2027.0,6215.0,10180.0,5137.0,753.0
78,5,Balanced,Mid-Block,Low,Wide,Balanced,4-4-2,28,46.4,44.329166666666666,0.0,981.0,288.0,0.0,2079.0,5879.0,7091.0,3709.0,493.0
79,20,Balanced,Mid-Block,Low,Wide,Balanced,4-3-3,39,51.4,44.03333333333333,0.0,924.0,325.0,0.0,1969.0,6676.0,8304.0,3809.0,532.0
80,55,Balanced,Mid-Block,Low,Wide,Balanced,4-2-3-1,54,49.8,47.15068493150685,0.0,1013.0,431.0,0.0,2567.0,7311.0,8682.0,4340.0,621.0
81,32,Balanced,Low-Block,Low,Balanced,Balanced,4-3-3,23,44.7,56.355932203389834,0.0,922.0,284.0,0.0,1909.0,5789.0,7149.0,3699.0,565.0
82,85,Balanced,Mid-Block,Low,Balanced,Balanced,4-4-2,36,49.9,46.737037037037034,0.0,1023.0,297.0,0.0,2309.0,7675.0,7932.0,3219.0,522.0
83,92,Possession,Mid-Block,Medium,Balanced,Balanced,4-2-3-1,64,56.2,56.604838709677416,0.0,1254.0,349.0,0.0,2040.0,6071.0,9773.0,4803.0,795.0
84,22,Balanced,Mid-Block,Medium,Wide,Balanced,4-3-3,22,47.5,55.714285714285715,0.0,926.0,320.0,0.0,2041.0,5905.0,8040.0,3645.0,489.0
