Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 25_level_0_Matches
605,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,35-084,1989,5.3,11,2.08,4,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
606,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,22-204,2002,20.8,18,0.87,13,0,0,4,1,0,1,0.05,0,0,0,1,0,0,Matches
607,Bryan Cristante,it ITA,MF,Roma,it Serie A,30-006,1995,14.3,32,2.24,29,0,0,2,1,0,3,0.21,3,0,0,0,0,0,Matches
608,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,29-111,1995,1.5,2,1.32,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
609,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32-224,1992,11.1,9,0.81,8,1,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
610,Juan Cruz,es ESP,"FW,DF",Leganés,es La Liga,24-318,2000,18.3,39,2.14,24,5,2,4,2,2,4,0.22,4,0,0,0,0,0,Matches
611,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36-287,1988,6.3,25,3.96,19,4,1,0,1,0,2,0.32,1,1,0,0,0,0,Matches
612,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18-046,2007,22.8,30,1.31,29,0,0,1,0,0,6,0.26,5,0,0,1,0,0,Matches
613,Cucho,co COL,FW,Betis,es La Liga,25-323,1999,2.6,13,5.09,8,0,2,0,3,0,2,0.78,0,0,0,0,2,0,Matches
614,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26-230,1998,23.0,35,1.52,32,1,0,2,0,0,3,0.13,3,0,0,0,0,0,Matches
615,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,25-112,1999,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
616,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25-286,1999,23.8,98,4.12,56,10,13,7,10,2,9,0.38,7,0,2,0,0,0,Matches
617,Patrick Cutrone,it ITA,FW,Como,it Serie A,27-065,1998,18.9,44,2.33,30,0,1,8,3,2,5,0.26,5,0,0,0,0,0,Matches
618,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,de Bundesliga,24-208,2000,5.4,11,2.03,10,0,0,1,0,0,1,0.18,1,0,0,0,0,0,Matches
619,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,30-040,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
620,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,36-181,1988,9.3,4,0.43,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
621,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23-273,2001,19.7,72,3.65,43,23,1,3,1,1,6,0.30,4,1,0,0,0,1,Matches
622,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,25-005,2000,0.5,1,2.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
623,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26-347,1998,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
624,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,31-064,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
625,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,29-067,1996,4.0,13,3.21,10,0,0,2,0,1,2,0.49,1,0,0,0,0,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
626,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,26-151,1998,3.5,5,1.42,4,0,1,0,0,0,1,0.28,0,0,1,0,0,0,Matches
627,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,23-003,2002,3.3,4,1.20,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
628,Thijs Dallinga,nl NED,"FW,MF",Bologna,it Serie A,24-218,2000,5.9,16,2.70,9,0,0,3,3,1,2,0.34,0,0,0,0,1,1,Matches
629,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25-356,1999,25.6,50,1.95,38,4,4,3,0,1,2,0.08,1,0,0,1,0,0,Matches
630,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24-249,2000,23.7,96,4.05,73,11,4,2,1,5,18,0.76,12,3,1,0,1,1,Matches
631,Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,19-026,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
632,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23-316,2001,10.0,9,0.89,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
633,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,23-314,2001,1.9,5,2.68,5,0,0,0,0,0,2,1.07,2,0,0,0,0,0,Matches
634,Danilo,br BRA,DF,Juventus,it Serie A,33-237,1991,6.5,10,1.55,10,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
635,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,28-037,1997,2.2,2,0.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
636,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,28-037,1997,9.6,21,2.18,14,4,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
637,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,19-052,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
638,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20-254,2004,12.3,46,3.74,37,0,5,2,1,1,5,0.41,4,0,0,1,0,0,Matches
639,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,26-171,1998,2.9,2,0.70,1,0,0,1,0,0,1,0.35,1,0,0,0,0,0,Matches
640,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,26-171,1998,12.0,12,1.00,12,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
641,Dante,br BRA,DF,Nice,fr Ligue 1,41-142,1983,16.3,14,0.86,13,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
642,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,,0.8,1,1.23,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
643,Mohammed Daramy,dk DEN,FW,Reims,fr Ligue 1,23-061,2002,0.2,2,11.25,1,0,0,1,0,0,1,5.63,0,0,0,1,0,0,Matches
644,Bence Dárdai,de GER,MF,Wolfsburg,de Bundesliga,19-044,2006,9.1,17,1.86,12,0,0,3,2,0,2,0.22,1,0,0,0,1,0,Matches
645,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,31-077,1993,19.1,63,3.29,31,26,2,4,0,0,2,0.10,2,0,0,0,0,0,Matches
646,Matteo Darmian,it ITA,DF,Inter,it Serie A,35-097,1989,13.0,19,1.47,14,2,0,0,2,1,3,0.23,3,0,0,0,0,0,Matches
647,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,26-159,1998,4.6,10,2.18,7,2,1,0,0,0,1,0.22,1,0,0,0,0,0,Matches
648,Juan David Cabal,co COL,DF,Juventus,it Serie A,24-060,2001,5.1,3,0.59,3,0,0,0,0,0,3,0.59,3,0,0,0,0,0,Matches
649,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,25-054,2000,20.2,48,2.38,37,0,2,4,5,0,5,0.25,3,0,1,0,1,0,Matches
650,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,24-127,2000,16.3,58,3.55,49,0,4,3,2,0,8,0.49,6,0,1,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
651,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31-319,1993,7.0,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
652,Keinan Davis,eng ENG,FW,Udinese,it Serie A,27-024,1998,7.7,24,3.13,19,0,2,2,0,1,2,0.26,0,0,1,1,0,0,Matches
653,Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,25-056,2000,26.3,80,3.04,40,33,3,2,1,1,4,0.15,3,0,1,0,0,0,Matches
654,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,fr Ligue 1,24-022,2001,21.5,77,3.58,41,12,11,8,5,0,11,0.51,6,0,3,0,2,0,Matches
655,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,29-293,1995,13.3,5,0.38,4,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
656,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34-307,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches
657,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,33-254,1991,12.2,80,6.55,58,17,1,2,1,1,10,0.82,8,1,0,1,0,0,Matches
658,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23-364,2001,18.2,69,3.80,56,0,4,6,3,0,9,0.50,7,0,0,2,0,0,Matches
659,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30-289,1994,16.1,66,4.09,60,2,0,2,1,1,8,0.50,8,0,0,0,0,0,Matches
660,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-035,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
661,Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,32-140,1992,8.0,7,0.88,5,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
662,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36-290,1988,8.5,13,1.52,9,2,0,2,0,0,1,0.12,0,0,0,1,0,0,Matches
663,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26-277,1998,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
664,Koni De Winter,be BEL,DF,Genoa,it Serie A,22-270,2002,15.1,13,0.86,9,2,0,0,1,1,1,0.07,1,0,0,0,0,0,Matches
665,Amar Dedić,ba BIH,"DF,FW",Marseille,fr Ligue 1,22-203,2002,1.6,11,6.69,8,0,2,1,0,0,1,0.61,1,0,0,0,0,0,Matches
666,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,29-220,1995,11.6,21,1.80,14,1,0,3,2,1,3,0.26,2,0,0,1,0,0,Matches
667,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28-345,1996,11.4,56,4.92,29,18,2,3,3,1,6,0.53,4,1,0,0,1,0,Matches
668,Enrico Del Prato,it ITA,DF,Parma,it Serie A,25-119,1999,22.7,22,0.97,20,1,0,0,0,1,1,0.04,0,0,0,0,0,1,Matches
669,Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,22-029,2003,23.3,55,2.36,24,0,10,7,12,2,6,0.26,2,0,2,0,2,0,Matches
670,Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,24-031,2001,7.9,20,2.54,13,0,5,2,0,0,0,0.00,0,0,0,0,0,0,Matches
671,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,33-151,1991,4.8,10,2.10,7,0,1,1,1,0,1,0.21,1,0,0,0,0,0,Matches
672,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24-337,2000,0.7,1,1.34,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
673,Ali Dembélé,fr FRA,DF,Torino,it Serie A,21-063,2004,1.4,4,2.90,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
674,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27-298,1997,15.5,91,5.87,60,15,7,5,3,1,12,0.77,9,0,0,2,1,0,Matches
675,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26-349,1998,14.4,32,2.23,25,0,1,4,2,0,3,0.21,2,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
676,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,23-079,2001,19.5,18,0.92,17,0,0,0,1,0,2,0.10,1,0,0,0,1,0,Matches
677,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30-336,1994,17.0,3,0.18,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
678,Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,21-149,2003,3.5,9,2.54,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
679,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,eng Premier League,26-184,1998,2.0,4,1.95,4,0,0,0,0,0,1,0.49,1,0,0,0,0,0,Matches
680,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27-225,1997,22.0,2,0.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
681,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,31-217,1993,27.0,62,2.30,57,2,0,2,0,1,4,0.15,3,0,0,1,0,0,Matches
682,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,28-113,1996,16.5,42,2.54,31,0,4,4,2,1,8,0.48,7,0,0,1,0,0,Matches
683,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,28-080,1996,0.8,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
684,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,19-168,2005,5.8,19,3.27,10,1,2,2,3,1,1,0.17,0,0,0,1,0,0,Matches
685,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,24-062,2001,24.0,12,0.50,11,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
686,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,21-079,2003,16.8,39,2.32,29,0,2,5,3,0,4,0.24,4,0,0,0,0,0,Matches
687,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,eng Premier League,22-241,2002,17.7,80,4.52,54,9,7,2,4,4,16,0.90,7,0,3,1,1,4,Matches
688,Assane Diao,es ESP,"FW,MF",Como,it Serie A,19-183,2005,9.0,12,1.33,6,0,2,2,2,0,0,0.00,0,0,0,0,0,0,Matches
689,Assane Diao,es ESP,FW,Betis,es La Liga,19-183,2005,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0,Matches
690,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,21-065,2004,21.6,46,2.13,38,1,0,2,5,0,6,0.28,4,0,0,0,2,0,Matches
691,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24-119,2000,17.6,17,0.97,13,0,0,0,4,0,4,0.23,2,0,0,0,2,0,Matches
692,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27-299,1997,15.2,19,1.25,13,0,0,4,0,2,0,0.00,0,0,0,0,0,0,Matches
693,Krépin Diatta,sn SEN,DF,Monaco,fr Ligue 1,26-012,1999,4.1,8,1.95,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
694,Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,25-027,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
695,Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,20-020,2005,3.9,9,2.31,8,0,0,1,0,0,1,0.26,1,0,0,0,0,0,Matches
696,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,20-020,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
697,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,25-218,1999,10.9,42,3.87,33,0,5,2,1,1,9,0.83,6,0,1,1,0,1,Matches
698,Luis Díaz,co COL,FW,Liverpool,eng Premier League,28-055,1997,20.6,92,4.48,66,0,15,8,3,0,15,0.73,12,0,1,0,2,0,Matches
699,Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,26-277,1998,5.5,21,3.80,13,5,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
700,Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18-362,2006,16.1,49,3.04,31,1,10,3,4,0,3,0.19,2,0,1,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
701,Diego,es ESP,"FW,MF",Leganés,es La Liga,24-325,2000,7.4,8,1.09,5,0,0,1,2,0,1,0.14,0,0,0,0,1,0,Matches
702,Justin Diehl,de GER,"FW,DF",Stuttgart,de Bundesliga,20-102,2004,1.2,4,3.46,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
703,Bamba Dieng,sn SEN,"FW,MF",Angers,fr Ligue 1,24-351,2000,5.4,5,0.93,3,0,1,0,1,0,1,0.19,0,0,0,0,1,0,Matches
704,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,31-053,1994,7.3,5,0.68,4,0,0,1,0,0,2,0.27,1,0,0,1,0,0,Matches
705,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31-232,1993,22.9,58,2.53,35,17,1,4,0,1,5,0.22,5,0,0,0,0,0,Matches
706,Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,19-034,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
707,Federico Dimarco,it ITA,"DF,FW",Inter,it Serie A,27-119,1997,18.7,75,3.97,44,20,2,7,2,0,8,0.42,6,1,0,1,0,0,Matches
708,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31-074,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
709,Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,24-108,2000,3.1,6,1.93,2,0,0,2,2,0,1,0.32,1,0,0,0,0,0,Matches
710,Eren Dinkçi,de GER,"MF,FW",Freiburg,de Bundesliga,23-086,2001,12.7,43,3.39,36,0,3,1,2,1,5,0.39,5,0,0,0,0,0,Matches
711,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23-334,2001,13.8,16,1.16,14,0,0,2,0,0,5,0.36,3,0,0,2,0,0,Matches
712,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,32-079,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
713,Issa Diop,fr FRA,DF,Fulham,eng Premier League,28-059,1997,14.0,6,0.43,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
714,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,19-301,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
715,Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,24-273,2000,9.4,36,3.84,26,4,0,2,4,0,7,0.75,5,1,0,0,1,0,Matches
716,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21-296,2003,18.4,58,3.15,44,1,8,3,2,0,1,0.05,1,0,0,0,0,0,Matches
717,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-113,1999,24.0,5,0.21,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
718,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,27-170,1997,2.4,6,2.51,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
719,Axel Disasi,fr FRA,DF,Aston Villa,eng Premier League,26-363,1998,4.0,6,1.50,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
720,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26-363,1998,4.0,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
721,Roman Dixon,eng ENG,DF,Everton,eng Premier League,20-073,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
722,Álvaro djaló,es ESP,FW,Athletic Club,es La Liga,25-205,1999,5.1,8,1.57,3,0,1,1,3,0,1,0.20,0,0,0,0,1,0,Matches
723,Djené,tg TOG,"DF,MF",Getafe,es La Liga,33-068,1991,22.0,17,0.77,15,0,0,0,1,1,1,0.05,1,0,0,0,0,0,Matches
724,Nasser Djiga,bf BFA,DF,Wolves,eng Premier League,22-114,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
725,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-018,1993,20.0,23,1.15,17,0,0,6,0,0,4,0.20,3,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
726,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,33-044,1992,21.0,3,0.14,0,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
727,Ritsu Doan,jp JPN,FW,Freiburg,de Bundesliga,26-266,1998,23.0,66,2.87,35,1,8,8,11,3,8,0.35,4,1,0,1,1,1,Matches
728,Dodô,br BRA,DF,Fiorentina,it Serie A,26-112,1998,25.7,59,2.30,42,1,4,3,8,1,8,0.31,4,0,2,0,2,0,Matches
729,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,26-252,1998,24.0,21,0.87,11,0,0,7,2,1,1,0.04,0,0,0,1,0,0,Matches
730,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-052,1992,16.9,19,1.13,14,3,0,1,1,0,2,0.12,2,0,0,0,0,0,Matches
731,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,22-286,2002,11.9,54,4.53,42,1,9,1,1,0,8,0.67,7,0,1,0,0,0,Matches
732,Marc Domenech,es ESP,FW,Mallorca,es La Liga,19-067,2006,1.3,1,0.79,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
733,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26-222,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
734,Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,21-171,2003,10.4,27,2.59,20,0,4,0,2,1,4,0.38,4,0,0,0,0,0,Matches
735,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-026,2001,8.2,3,0.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
736,Israel Domínguez,es ESP,FW,Sevilla,es La Liga,21-306,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
737,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,26-254,1998,14.8,19,1.29,12,1,0,2,3,1,0,0.00,0,0,0,0,0,0,Matches
738,Sergi Dominguez,es ESP,DF,Barcelona,es La Liga,19-342,2005,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
739,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,26-012,1999,18.2,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
740,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20-134,2004,2.5,5,2.03,4,0,0,0,1,0,1,0.41,0,0,0,0,1,0,Matches
741,Patrick Dorgu,dk DEN,"DF,FW",Lecce,it Serie A,20-134,2004,20.4,58,2.84,38,2,4,4,9,1,7,0.34,5,0,0,1,1,0,Matches
742,Alfie Dorrington,eng ENG,DF,Tottenham,eng Premier League,19-323,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
743,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,27-053,1998,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
744,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-053,1998,8.2,18,2.19,9,6,0,0,1,2,0,0.00,0,0,0,0,0,0,Matches
745,Alberto Dossena,it ITA,DF,Como,it Serie A,26-147,1998,20.1,11,0.55,9,0,1,1,0,0,2,0.10,1,0,0,1,0,0,Matches
746,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,32-067,1993,21.3,44,2.07,40,0,1,2,0,1,2,0.09,1,0,0,0,0,1,Matches
747,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,25-060,2000,5.0,9,1.79,5,0,0,2,1,1,3,0.60,1,0,0,1,1,0,Matches
748,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,19-279,2005,13.4,68,5.08,55,0,8,2,3,0,19,1.42,14,0,2,1,2,0,Matches
749,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,22-143,2002,22.2,34,1.53,22,2,4,4,1,1,3,0.14,3,0,0,0,0,0,Matches
750,Douglas,br BRA,MF,Nantes,fr Ligue 1,28-055,1997,17.5,26,1.48,22,1,1,2,0,0,3,0.17,2,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
751,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,21-228,2003,19.8,16,0.81,13,0,0,0,1,2,3,0.15,3,0,0,0,0,0,Matches
752,Issa Doumbia,ci CIV,MF,Venezia,it Serie A,21-144,2003,7.2,13,1.81,11,0,1,0,0,1,2,0.28,2,0,0,0,0,0,Matches
753,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-019,2003,10.3,42,4.07,27,11,0,0,2,2,3,0.29,1,1,0,0,0,1,Matches
754,Amidou Doumbouya,fr FRA,DF,Nice,fr Ligue 1,17-216,2007,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
755,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,25-219,1999,0.6,2,3.10,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
756,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,25-219,1999,7.8,11,1.41,5,0,2,1,3,0,1,0.13,1,0,0,0,0,0,Matches
757,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27-261,1997,20.1,35,1.74,29,0,4,2,0,0,5,0.25,3,0,2,0,0,0,Matches
758,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,26-048,1999,16.8,24,1.43,20,2,0,1,0,1,1,0.06,0,1,0,0,0,0,Matches
