Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 25_level_0_Matches
161,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,21-110,2003,9.7,42,4.33,33,5,3,1,0,0,6,0.62,4,2,0,0,0,0,Matches
162,Lorenz Assignon,tg TOG,"DF,MF",Rennes,fr Ligue 1,24-260,2000,18.2,50,2.74,38,6,2,2,1,1,9,0.49,6,0,0,2,1,0,Matches
163,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19-326,2005,0.9,6,6.67,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
164,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,19-196,2005,21.8,34,1.56,25,0,3,1,3,2,1,0.05,1,0,0,0,0,0,Matches
165,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,22-054,2003,5.5,23,4.21,22,0,0,1,0,0,1,0.18,0,0,0,1,0,0,Matches
166,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-288,2002,22.0,5,0.23,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
167,Emil Audero,it ITA,GK,Como,it Serie A,28-050,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
168,Tommaso Augello,it ITA,"DF,FW",Cagliari,it Serie A,30-191,1994,21.2,55,2.59,36,15,3,1,0,0,5,0.24,5,0,0,0,0,0,Matches
169,Carlos Augusto,br BRA,"DF,FW",Inter,it Serie A,26-061,1999,10.5,11,1.05,8,1,0,0,1,1,1,0.10,1,0,0,0,0,0,Matches
170,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-100,2000,11.9,15,1.26,12,0,0,2,0,1,3,0.25,3,0,0,0,0,0,Matches
171,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-060,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
172,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,31-031,1994,7.0,31,4.41,24,0,1,2,4,0,3,0.43,3,0,0,0,0,0,Matches
173,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,27-209,1997,3.0,8,2.69,5,0,1,1,1,0,1,0.34,0,0,0,1,0,0,Matches
174,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,21-154,2003,15.9,47,2.96,25,11,3,3,3,2,5,0.32,3,2,0,0,0,0,Matches
175,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,28-049,1997,4.5,2,0.45,2,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
