Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Honest Ahanor,it ITA,DF,Genoa,it Serie A,17-014,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-146,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30-354,1994,22,22,1661,18.5,2,0,2,2,0,0,7,0,1.7,1.7,0.4,2.0,14,62,14,0.11,0.00,0.11,0.11,0.11,0.09,0.02,0.11,0.09,0.11,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,29-161,1995,3,3,244,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-161,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-257,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,8,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-152,1996,28,28,2441,27.1,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,52,89,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-276,2001,27,27,2302,25.6,3,5,8,3,0,0,6,1,1.9,1.9,2.6,4.4,60,88,136,0.12,0.20,0.31,0.12,0.31,0.07,0.10,0.17,0.07,0.17,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-149,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-326,1998,15,14,1134,12.6,0,0,0,0,0,0,4,0,0.7,0.7,1.0,1.6,25,45,33,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-012,1994,21,19,1663,18.5,10,1,11,10,0,1,4,0,6.7,5.9,2.4,8.3,7,32,86,0.54,0.05,0.60,0.54,0.60,0.36,0.13,0.49,0.32,0.45,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-233,1995,20,20,1707,19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-154,2003,6,6,434,4.8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,26,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-019,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20-327,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.00,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-083,1997,20,19,1673,18.6,1,1,2,1,0,0,3,0,0.6,0.6,1.2,1.8,40,63,67,0.05,0.05,0.11,0.05,0.11,0.03,0.06,0.10,0.03,0.10,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-012,2002,23,19,1697,18.9,3,6,9,3,0,0,2,0,5.3,5.3,5.4,10.7,90,133,166,0.16,0.32,0.48,0.16,0.48,0.28,0.29,0.57,0.28,0.57,Matches
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-105,2001,22,20,1762,19.6,0,1,1,0,0,0,5,0,0.1,0.1,0.9,1.0,22,57,23,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches
69,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-149,1992,4,3,228,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
70,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,23-023,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-324,1995,23,17,1609,17.9,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,10,72,12,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
72,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,29-151,1995,5,3,287,3.2,2,0,2,2,0,1,0,0,2.2,1.4,0.3,1.8,1,2,17,0.63,0.00,0.63,0.63,0.63,0.70,0.10,0.80,0.45,0.55,Matches
73,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-258,1992,4,2,168,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34-351,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.45,0.00,1.45,1.45,1.45,0.90,0.14,1.04,0.90,1.04,Matches
75,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-186,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-099,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches
77,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,22-099,2002,5,2,227,2.5,1,1,2,1,0,0,2,0,0.7,0.7,1.0,1.7,8,12,6,0.40,0.40,0.79,0.40,0.79,0.28,0.38,0.66,0.28,0.66,Matches
78,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-073,1996,23,23,2046,22.7,0,0,0,0,0,0,6,0,0.7,0.7,0.9,1.6,23,81,5,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
79,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-063,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,10,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
80,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-063,1998,4,4,356,4.0,0,2,2,0,0,0,1,0,0.4,0.4,0.6,0.9,9,27,13,0.00,0.51,0.51,0.00,0.51,0.09,0.14,0.23,0.09,0.23,Matches
81,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-153,1998,28,26,2145,23.8,2,6,8,2,0,0,4,0,1.6,1.6,6.7,8.3,48,204,87,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35,Matches
82,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25-309,1999,16,6,683,7.6,2,2,4,2,0,0,0,1,3.3,3.3,2.0,5.3,46,13,79,0.26,0.26,0.53,0.26,0.53,0.44,0.26,0.69,0.44,0.69,Matches
83,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-049,2004,20,18,1360,15.1,3,4,7,3,0,0,2,0,3.0,3.0,3.1,6.1,65,49,111,0.20,0.26,0.46,0.20,0.46,0.20,0.21,0.40,0.20,0.40,Matches
84,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-234,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
85,Alisson,br BRA,GK,Liverpool,eng Premier League,32-158,1992,21,21,1878,20.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
86,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,26-017,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,30-010,1995,19,18,1256,14.0,0,3,3,0,0,0,3,0,2.8,2.8,2.3,5.0,29,37,67,0.00,0.21,0.21,0.00,0.21,0.20,0.16,0.36,0.20,0.36,Matches
88,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23-317,2001,6,1,187,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,7,29,10,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
89,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-283,2000,24,15,1327,14.7,0,1,1,0,0,0,1,0,0.5,0.5,1.8,2.3,29,93,55,0.00,0.07,0.07,0.00,0.07,0.03,0.12,0.16,0.03,0.16,Matches
90,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20-309,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Matches
